,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,fast_ma,gross_leverage,long_exposure,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,price,returns,sharpe,short_exposure,short_value,shorts_count,slow_ma,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2015-05-13 20:00:00+00:00,,0.0,,0.0,,,0.0,10000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2015-05-13 20:00:00+00:00,2015-05,2015-05-13 13:31:00+00:00,0.0,10000.0,[],,0.0,,0.0,0.0,0,,,10000.0,0.0,0.0,1,[],0.0
2015-05-14 20:00:00+00:00,0.0,0.0,,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2015-05-14 20:00:00+00:00,2015-05,2015-05-14 13:31:00+00:00,0.0,10000.0,[],,0.0,,0.0,0.0,0,,,10000.0,0.0,0.0,2,[],0.0
2015-05-15 20:00:00+00:00,0.0,0.0,,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2015-05-15 20:00:00+00:00,2015-05,2015-05-15 13:31:00+00:00,0.0,10000.0,[],,0.0,,0.0,0.0,0,,,10000.0,0.0,0.0,3,[],0.0
2015-05-18 20:00:00+00:00,0.0,0.0,,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2015-05-18 20:00:00+00:00,2015-05,2015-05-18 13:31:00+00:00,0.0,10000.0,[],,0.0,,0.0,0.0,0,,,10000.0,0.0,0.0,4,[],0.0
2015-05-19 20:00:00+00:00,0.0,0.0,,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2015-05-19 20:00:00+00:00,2015-05,2015-05-19 13:31:00+00:00,0.0,10000.0,[],,0.0,,0.0,0.0,0,,,10000.0,0.0,0.0,5,[],0.0
2015-05-20 20:00:00+00:00,0.0,0.0,,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2015-05-20 20:00:00+00:00,2015-05,2015-05-20 13:31:00+00:00,0.0,10000.0,[],,0.0,,0.0,0.0,0,,,10000.0,0.0,0.0,6,[],0.0
2015-05-21 20:00:00+00:00,0.0,0.0,,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2015-05-21 20:00:00+00:00,2015-05,2015-05-21 13:31:00+00:00,0.0,10000.0,[],,0.0,,0.0,0.0,0,,,10000.0,0.0,0.0,7,[],0.0
2015-05-22 20:00:00+00:00,0.0,0.0,,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2015-05-22 20:00:00+00:00,2015-05,2015-05-22 13:31:00+00:00,0.0,10000.0,[],,0.0,,0.0,0.0,0,,,10000.0,0.0,0.0,8,[],0.0
2015-05-26 20:00:00+00:00,0.0,0.0,,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2015-05-26 20:00:00+00:00,2015-05,2015-05-26 13:31:00+00:00,0.0,10000.0,[],,0.0,,0.0,0.0,0,,,10000.0,0.0,0.0,9,[],0.0
2015-05-27 20:00:00+00:00,0.0,0.0,,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,[],2015-05-27 20:00:00+00:00,2015-05,2015-05-27 13:31:00+00:00,0.0,10000.0,[],,0.0,,0.0,0.0,0,,,10000.0,0.0,0.0,10,[],0.0
