,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,long_exposure,long_value,longs_count,max_drawdown,max_leverage,moving_average,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,price,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,time,trading_days,transactions,treasury_period_return
2015-05-13 20:00:00+00:00,,0.0,,0.0,,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,0.0,[],2015-05-13 20:00:00+00:00,2015-05,2015-05-13 13:31:00+00:00,0.0,10000.0,[],,0.0,,0.0,0.0,0,,10000.0,0.0,0.0,1,1,[],0.0
2015-05-14 20:00:00+00:00,0.0,0.0,,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,0.0,[],2015-05-14 20:00:00+00:00,2015-05,2015-05-14 13:31:00+00:00,0.0,10000.0,[],,0.0,,0.0,0.0,0,,10000.0,0.0,0.0,2,2,[],0.0
2015-05-15 20:00:00+00:00,0.0,0.0,,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,0.0,[],2015-05-15 20:00:00+00:00,2015-05,2015-05-15 13:31:00+00:00,0.0,10000.0,[],,0.0,,0.0,0.0,0,,10000.0,0.0,0.0,3,3,[],0.0
2015-05-18 20:00:00+00:00,0.0,0.0,,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,0.0,[],2015-05-18 20:00:00+00:00,2015-05,2015-05-18 13:31:00+00:00,0.0,10000.0,[],,0.0,,0.0,0.0,0,,10000.0,0.0,0.0,4,4,[],0.0
2015-05-19 20:00:00+00:00,0.0,0.0,,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,0.0,[],2015-05-19 20:00:00+00:00,2015-05,2015-05-19 13:31:00+00:00,0.0,10000.0,[],,0.0,,0.0,0.0,0,,10000.0,0.0,0.0,5,5,[],0.0
2015-05-20 20:00:00+00:00,0.0,0.0,,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,0.0,[],2015-05-20 20:00:00+00:00,2015-05,2015-05-20 13:31:00+00:00,0.0,10000.0,[],,0.0,,0.0,0.0,0,,10000.0,0.0,0.0,6,6,[],0.0
2015-05-21 20:00:00+00:00,0.0,0.0,,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,0.0,[],2015-05-21 20:00:00+00:00,2015-05,2015-05-21 13:31:00+00:00,0.0,10000.0,[],,0.0,,0.0,0.0,0,,10000.0,0.0,0.0,7,7,[],0.0
2015-05-22 20:00:00+00:00,0.0,0.0,,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,129.7475,0.0,[],2015-05-22 20:00:00+00:00,2015-05,2015-05-22 13:31:00+00:00,0.0,10000.0,[],132.54,0.0,,0.0,0.0,0,,10000.0,0.0,0.0,8,8,[],0.0
2015-05-26 20:00:00+00:00,0.0,0.0,,0.0,0.0,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,130.19875,0.0,"[{'reason': None, 'filled': 0, 'sid': Equity(8 [AAPL]), 'limit_reached': False, 'amount': -100, 'status': 0, 'stop': None, 'id': '2206825ea9df42b3aa9d9d05ce7f0518', 'limit': None, 'created': Timestamp('2015-05-26 20:00:00+0000', tz='UTC'), 'commission': 0, 'stop_reached': False, 'dt': Timestamp('2015-05-26 20:00:00+0000', tz='UTC')}]",2015-05-26 20:00:00+00:00,2015-05,2015-05-26 13:31:00+00:00,0.0,10000.0,[],129.62,0.0,,0.0,0.0,0,,10000.0,0.0,0.0,9,9,[],0.0
2015-05-27 20:00:00+00:00,0.003364502797701255,-0.0006702249999996912,,0.0,0.0,,13197.797750000002,23197.797750000005,-13204.500000000002,-13204.500000000002,0.0,1.3213355921472467,0.0,0.0,0,-0.0006702249999996468,1.3213355921472467,130.585625,-1.3213355921472467,"[{'reason': None, 'filled': -100, 'sid': Equity(8 [AAPL]), 'limit_reached': False, 'amount': -100, 'status': 1, 'stop': None, 'id': '2206825ea9df42b3aa9d9d05ce7f0518', 'limit': None, 'created': Timestamp('2015-05-26 20:00:00+0000', tz='UTC'), 'commission': 0.1, 'stop_reached': False, 'dt': Timestamp('2015-05-27 20:00:00+0000', tz='UTC')}, {'reason': None, 'filled': 0, 'sid': Equity(8 [AAPL]), 'limit_reached': False, 'amount': 100, 'status': 0, 'stop': None, 'id': '0a2a72cca2ed41babd5b3763db631957', 'limit': None, 'created': Timestamp('2015-05-27 20:00:00+0000', tz='UTC'), 'commission': 0, 'stop_reached': False, 'dt': Timestamp('2015-05-27 20:00:00+0000', tz='UTC')}]",2015-05-27 20:00:00+00:00,2015-05,2015-05-27 13:31:00+00:00,-6.7022499999966385,9993.297750000003,"[{'cost_basis': 131.9779775, 'last_sale_price': 132.04500000000002, 'amount': -100, 'sid': Equity(8 [AAPL])}]",132.04500000000002,-0.0006702249999996912,-5.0199601592044525,-13204.500000000002,-13204.500000000002,1,-5.0199601592044525,10000.0,0.0,0.0,10,10,"[{'order_id': '2206825ea9df42b3aa9d9d05ce7f0518', 'price': 131.9789775, 'sid': Equity(8 [AAPL]), 'commission': None, 'amount': -100, 'dt': Timestamp('2015-05-27 20:00:00+0000', tz='UTC')}]",0.0
